size,time
0,7478150
100000,16563775
200000,24737575
300000,34130650
400000,43286500
500000,53170950
600000,61225750
700000,71513875
800000,82172025
900000,91083650
1000000,99839925
1100000,109504775
1200000,117983200
1300000,130510550
1400000,139157875
1500000,148363575
1600000,163173950
1700000,168132775
1800000,182454000
1900000,187292675
2000000,200209100
2100000,211361900
2200000,219758200
2300000,228190050
2400000,240001425
2500000,249390275
2600000,259555025
2700000,275031575
2800000,276884225
2900000,289085275
3000000,301325400
3100000,312908625
3200000,328523425
3300000,338594100
3400000,348131975
3500000,355505600
3600000,359818825
3700000,382008775
3800000,390806775
3900000,399512350
4000000,413324550
4100000,424113275
4200000,429993750
4300000,443784425
4400000,447248925
4500000,459926925
4600000,468729900
4700000,480158700
4800000,493157975
4900000,498208850
5000000,516197750
5100000,524217275
5200000,536454725
5300000,541411500
5400000,555580375
5500000,566094975
5600000,572742150
5700000,587479025
5800000,607199425
5900000,620361475
6000000,630398725
6100000,633048975
6200000,638859000
6300000,653330250
6400000,679047725
6500000,676292625
6600000,690293025
6700000,697544750
6800000,715855675
6900000,734261100
7000000,732644675
7100000,746224675
7200000,757912825
7300000,779047925
7400000,788779400
7500000,805272025
7600000,803927750
7700000,809421250
7800000,818436700
7900000,831333425
8000000,843174375
8100000,854807450
8200000,871358275
8300000,884188975
8400000,891169875
8500000,915988150
8600000,918247750
8700000,925309450
8800000,930918475
8900000,962602350
9000000,964242500
9100000,972377875
9200000,989105325
9300000,1010136825
9400000,1002571850
9500000,1027419600
9600000,1027782025
9700000,1031844700
9800000,1038583275
9900000,1049003350
