size,time
0,5211550
100000,11059175
200000,16853675
300000,23296450
400000,30201925
500000,35463050
600000,41850125
700000,47770850
800000,54165475
900000,61112950
1000000,67070675
1100000,74216075
1200000,80992350
1300000,86445775
1400000,94422225
1500000,101111825
1600000,106354375
1700000,114332650
1800000,120980325
1900000,127347325
2000000,134484500
2100000,140779900
2200000,148118300
2300000,153965575
2400000,161069950
2500000,169672125
2600000,175410025
2700000,181857800
2800000,189986150
2900000,197770250
3000000,203252700
3100000,210109900
3200000,216197950
3300000,226797525
3400000,230720175
3500000,238421350
3600000,246219750
3700000,252088725
3800000,260243550
3900000,265915200
4000000,275538475
4100000,280658500
4200000,289345975
4300000,295174875
4400000,303099325
4500000,311101900
4600000,315521450
4700000,325183025
4800000,330051575
4900000,337900475
5000000,345897425
5100000,353737650
5200000,361690250
5300000,369653550
5400000,374365275
5500000,380858625
5600000,390169150
5700000,395596475
5800000,405611275
5900000,408984500
6000000,416837175
6100000,426241700
6200000,436107350
6300000,447892200
6400000,452723350
6500000,457648425
6600000,460036550
6700000,468597925
6800000,474605825
6900000,510872575
7000000,502921725
7100000,505386250
7200000,521697375
7300000,529167525
7400000,533546225
7500000,541805125
7600000,550755350
7700000,557785475
7800000,561054025
7900000,569086275
8000000,576696475
8100000,583591875
8200000,598713850
8300000,604166500
8400000,609357050
8500000,616800625
8600000,625616150
8700000,627904100
8800000,638041900
8900000,638870675
9000000,642176175
9100000,645291800
9200000,656575325
9300000,665451575
9400000,669548025
9500000,675674800
9600000,683604350
9700000,695314650
9800000,701002825
9900000,704283675
